Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_WALL
Department of Housing Preservation and Development,PAINT/PLASTER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,BROOKLYN,1,D_WALL
Department of Housing Preservation and Development,PAINT/PLASTER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_CEILING
Department of Housing Preservation and Development,PAINT/PLASTER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_CEILING
Department of Housing Preservation and Development,PAINT/PLASTER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,MANHATTAN,1,D_CEILING
Department of Housing Preservation and Development,PAINT/PLASTER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_CEILING
Department of Housing Preservation and Development,PAINT/PLASTER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists please file a new complaint.,BRONX,2,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,MANHATTAN,-1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,MANHATTAN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,QUEENS,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BROOKLYN,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_ENTIRE BUILDING
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BRONX,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BRONX,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,MANHATTAN,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BRONX,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BROOKLYN,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists please file a new complaint.,BRONX,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists please file a new complaint.,MANHATTAN,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,BRONX,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,BROOKLYN,1,D_APARTMENT ONLY
Department of Housing Preservation and Development,HEAT/HOT WATER,RESIDENTIAL BUILDING,The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists please file a new complaint.,QUEENS,1,D_APARTMENT ONLY
